#{"t_start": 1784097332.540789, "env_id": "None"}
r,l,t
10.0,10,2.911556
10.0,8,2.91234
10.0,8,2.913122
10.0,12,2.914293
10.0,8,2.915088
10.0,8,2.915871
10.0,8,2.916647
10.0,8,2.917428
10.0,10,2.918396
10.0,8,2.919179
10.0,14,2.920531
10.0,14,2.921877
10.0,14,2.923327
10.0,10,2.924456
10.0,10,2.925521
10.0,8,2.92637
10.0,10,2.927432
10.0,8,2.928274
10.0,8,2.929104
10.0,10,2.930138
10.0,10,2.931182
10.0,8,2.932028
10.0,10,2.933049
10.0,12,2.934276
10.0,8,2.935103
10.0,12,2.936344
10.0,10,2.937367
10.0,8,2.938187
10.0,8,2.939009
10.0,10,2.940056
10.0,10,2.94109
10.0,8,2.941911
10.0,8,2.942751
10.0,10,2.943779
10.0,10,2.944804
10.0,10,2.945827
10.0,14,2.947254
10.0,8,2.948095
10.0,8,2.948916
10.0,16,2.95055
10.0,8,2.951366
10.0,12,2.952581
10.0,8,2.953402
10.0,10,2.954426
10.0,12,2.955642
10.0,10,2.956673
10.0,10,2.957685
10.0,8,2.958511
10.0,10,2.959551
10.0,14,2.960965
10.0,8,2.961787
10.0,10,2.962809
10.0,8,2.96363
10.0,8,2.964464
10.0,10,2.965494
10.0,10,2.966517
10.0,8,2.96735
10.0,8,2.968165
10.0,10,2.96918
10.0,8,2.969997
10.0,10,2.971008
10.0,10,2.972033
10.0,8,2.972852
10.0,8,2.973725
10.0,12,2.97492
10.0,8,2.975711
10.0,8,2.9765
10.0,12,2.977667
10.0,8,2.978453
10.0,8,2.979235
10.0,8,2.980025
10.0,10,2.981014
10.0,12,2.982191
10.0,8,2.98299
10.0,10,2.983974
10.0,10,2.984941
10.0,10,2.985914
10.0,8,2.986699
10.0,8,2.987484
10.0,10,2.98846
10.0,8,2.98924
10.0,10,2.990289
10.0,8,2.991127
10.0,10,2.992148
10.0,8,2.992962
10.0,8,2.993781
10.0,8,2.994603
10.0,8,2.995423
10.0,8,2.996247
10.0,8,2.99706
10.0,12,2.998308
10.0,14,2.999739
10.0,8,3.000566
10.0,8,3.001389
10.0,10,3.002406
10.0,8,3.003225
10.0,10,3.004241
10.0,8,3.00505
10.0,8,3.005864
10.0,8,3.00671
10.0,8,3.007539
10.0,8,3.008354
10.0,10,3.009376
10.0,8,3.010193
10.0,8,3.011015
10.0,8,3.011825
10.0,8,3.012641
10.0,8,3.013463
10.0,8,3.014299
10.0,12,3.015542
10.0,10,3.016551
10.0,8,3.017372
10.0,8,3.018187
10.0,16,3.019809
10.0,8,3.020619
10.0,8,3.021437
10.0,12,3.022685
10.0,8,3.023568
10.0,10,3.024573
10.0,8,3.025368
10.0,10,3.026347
10.0,8,3.027132
10.0,12,3.028302
10.0,10,3.029282
10.0,8,3.030067
10.0,10,3.031058
10.0,8,3.031858
10.0,8,3.032648
10.0,8,3.03343
10.0,8,3.034208
10.0,8,3.034989
10.0,8,3.035766
10.0,8,3.036549
10.0,10,3.037521
10.0,8,3.038324
10.0,8,3.039102
10.0,12,3.04048
10.0,8,3.041356
10.0,8,3.04218
10.0,8,3.042991
10.0,8,3.043795
10.0,10,3.044794
10.0,12,3.045974
10.0,10,3.046976
10.0,8,3.04777
10.0,10,3.048768
10.0,10,3.04975
10.0,8,3.050543
10.0,10,3.05152
10.0,8,3.05231
10.0,16,3.053871
10.0,10,3.054863
10.0,8,3.05565
10.0,10,3.056655
10.0,8,3.057453
10.0,8,3.058239
10.0,8,3.059024
10.0,8,3.059808
10.0,8,3.060594
10.0,8,3.061383
10.0,12,3.062562
10.0,12,3.063727
10.0,8,3.064517
10.0,10,3.065504
10.0,8,3.066295
10.0,10,3.067279
10.0,8,3.068057
10.0,8,3.068847
10.0,8,3.069631
10.0,8,3.070438
10.0,8,3.071226
10.0,10,3.072201
10.0,8,3.072981
10.0,8,3.073802
10.0,10,3.074785
10.0,8,3.075568
10.0,10,3.076541
10.0,8,3.077322
10.0,8,3.078104
10.0,8,3.078896
10.0,8,3.079682
10.0,10,3.08066
10.0,12,3.08184
10.0,8,3.082621
10.0,8,3.083404
10.0,8,3.084186
10.0,8,3.084965
10.0,10,3.085944
10.0,8,3.086743
10.0,12,3.08791
10.0,10,3.088887
10.0,8,3.089685
10.0,8,3.336752
10.0,8,3.337624
10.0,8,3.338428
10.0,8,3.339236
10.0,8,3.340165
10.0,8,3.341045
10.0,8,3.341869
10.0,10,3.342891
10.0,8,3.343703
10.0,10,3.344706
10.0,10,3.345713
10.0,8,3.346517
10.0,10,3.347513
10.0,8,3.348349
10.0,8,3.349158
10.0,10,3.35016
10.0,8,3.350955
10.0,8,3.351752
10.0,8,3.352553
10.0,8,3.35335
10.0,10,3.354348
10.0,8,3.355147
10.0,8,3.355954
10.0,8,3.356797
10.0,8,3.357591
10.0,8,3.358385
10.0,8,3.359178
10.0,8,3.359977
10.0,8,3.36077
10.0,8,3.361565
10.0,8,3.362419
10.0,8,3.363223
10.0,8,3.364016
10.0,8,3.364818
10.0,8,3.365754
10.0,8,3.366591
10.0,8,3.36741
10.0,8,3.36822
10.0,8,3.369026
10.0,14,3.370402
10.0,8,3.371195
10.0,8,3.371992
10.0,8,3.3728
10.0,8,3.373646
10.0,10,3.374637
10.0,8,3.375435
10.0,8,3.376223
10.0,8,3.377015
10.0,8,3.377814
10.0,8,3.378607
10.0,8,3.379402
10.0,8,3.380202
10.0,8,3.381025
10.0,8,3.381839
10.0,8,3.382643
10.0,8,3.383439
10.0,8,3.38424
10.0,8,3.385036
10.0,8,3.385823
10.0,14,3.387207
