#{"t_start": 1784097344.4414651, "env_id": "None"}
r,l,t
5.6,12,1.946422
7.2,8,1.947209
6.3,10,1.948179
7.2,8,1.948954
6.3,10,1.949922
7.2,8,1.950702
7.2,8,1.951478
6.0,12,1.952641
7.2,8,1.953415
7.2,8,1.954188
7.2,8,1.954962
6.4,12,1.956129
6.9,10,1.957095
7.2,8,1.957877
5.3,14,1.959227
7.2,8,1.960006
7.2,8,1.960784
7.2,8,1.961566
6.9,10,1.962535
4.1,14,1.96388
6.3,10,1.964847
6.5,10,1.965816
5.7,14,1.967166
6.9,10,1.968135
5.3,14,1.969482
6.3,10,1.970455
5.3,14,1.971802
7.2,8,1.972589
7.2,8,1.973368
6.0,12,1.974528
7.2,8,1.975313
7.2,8,1.976095
7.2,8,1.976873
7.2,8,1.977652
5.3,14,2.218699
6.5,10,2.219731
6.5,10,2.220729
7.2,8,2.221525
7.2,8,2.222325
5.8,12,2.223509
7.2,8,2.224305
6.9,10,2.225294
6.9,10,2.226282
7.2,8,2.227078
6.0,12,2.228252
7.2,8,2.229036
7.2,8,2.22982
7.2,8,2.230608
7.2,8,2.231393
7.2,8,2.23218
7.2,8,2.232963
7.2,8,2.23375
7.2,8,2.23453
6.7,10,2.235506
6.1,10,2.23648
7.2,8,2.237264
6.7,10,2.238242
6.1,10,2.239212
7.2,8,2.239993
7.2,8,2.240777
6.7,10,2.241752
5.2,16,2.243302
4.3,18,2.245034
5.3,14,2.246383
7.2,8,2.247169
6.6,12,2.248336
5.5,14,2.249685
4.3,18,2.251416
6.9,10,2.252389
6.5,10,2.253361
6.9,10,2.254331
7.2,8,2.255109
6.2,12,2.256311
7.2,8,2.257094
6.0,12,2.258256
5.7,10,2.259232
7.2,8,2.260016
6.9,10,2.260987
7.2,8,2.261772
7.2,8,2.26255
5.2,16,2.264094
7.2,8,2.264892
6.5,10,2.265865
7.2,8,2.266645
7.2,8,2.267425
7.2,8,2.268203
7.2,8,2.268986
7.2,8,2.269768
6.3,10,2.270743
5.8,12,2.271905
7.2,8,2.272717
7.2,8,2.273497
7.2,8,2.274275
5.8,12,2.275439
7.2,8,2.276218
7.2,8,2.276989
7.2,8,2.277769
5.5,14,2.279118
6.0,12,2.280285
7.2,8,2.281064
7.2,8,2.281844
6.7,10,2.282818
7.2,8,2.283601
7.2,8,2.284388
7.2,8,2.285167
7.2,8,2.285944
7.2,8,2.28673
7.2,8,2.287512
6.5,10,2.288481
6.7,10,2.289487
6.7,10,2.290473
6.4,12,2.291642
7.2,8,2.292421
6.7,10,2.293392
5.1,14,2.294742
6.2,12,2.295907
7.2,8,2.296688
7.2,8,2.297468
7.2,8,2.298249
6.7,10,2.299221
6.5,10,2.300189
5.5,14,2.301541
6.7,10,2.30251
6.4,12,2.303674
7.2,8,2.304457
6.7,10,2.305435
7.2,8,2.306233
6.3,10,2.307209
7.2,8,2.307994
6.6,12,2.30916
7.2,8,2.309942
4.1,18,2.311675
6.4,12,2.312849
6.3,10,2.313817
7.2,8,2.314594
6.3,10,2.315562
5.8,12,2.316718
7.2,8,2.317496
5.8,12,2.318651
7.2,8,2.319436
7.2,8,2.320215
7.2,8,2.320997
7.2,8,2.321778
6.7,10,2.322761
6.0,12,2.323922
7.2,8,2.3247
7.2,8,2.325483
6.7,10,2.326463
7.2,8,2.327248
6.5,10,2.32822
7.2,8,2.329004
5.4,12,2.330165
5.5,14,2.331521
7.2,8,2.332301
5.3,14,2.333657
7.2,8,2.334433
7.2,8,2.335212
7.2,8,2.335995
6.3,10,2.336966
6.5,10,2.337938
4.7,18,2.339685
7.2,8,2.340479
6.5,10,2.341451
7.2,8,2.342237
6.5,10,2.343209
7.2,8,2.34399
6.9,10,2.344958
6.7,10,2.345925
7.2,8,2.346703
6.5,10,2.347676
6.1,10,2.348655
6.3,10,2.349642
7.2,8,2.350423
7.2,8,2.351209
6.5,10,2.352181
7.2,8,2.352966
6.9,10,2.353939
5.9,14,2.355297
7.2,8,2.356085
7.2,8,2.356867
7.2,8,2.357651
6.4,12,2.358812
6.4,12,2.359977
7.2,8,2.360762
7.2,8,2.361539
7.2,8,2.362316
7.2,8,2.363092
7.2,8,2.363872
6.1,10,2.364842
6.7,10,2.365816
6.5,10,2.366784
7.2,8,2.367567
7.2,8,2.368346
6.2,12,2.369503
5.8,12,2.370663
7.2,8,2.371445
6.7,10,2.372425
6.4,12,2.373585
7.2,8,2.374361
6.7,10,2.375334
6.3,10,2.376312
6.1,10,2.377283
7.2,8,2.378062
6.9,10,2.379036
6.9,10,2.380005
7.2,8,2.380782
7.2,8,2.381566
7.2,8,2.382346
7.2,8,2.383124
6.0,12,2.384289
7.2,8,2.38507
7.2,8,2.385859
7.2,8,2.38664
7.2,8,2.387418
7.2,8,2.388207
6.6,12,2.389376
7.2,8,2.390154
7.2,8,2.390935
5.2,12,2.392094
6.0,12,2.393257
6.9,10,2.394227
7.2,8,2.395001
7.2,8,2.39578
6.9,10,2.396748
7.2,8,2.397528
7.2,8,2.398306
6.1,10,2.399277
5.6,12,2.400436
7.2,8,2.401216
6.3,10,2.402188
7.2,8,2.402998
7.2,8,2.403808
6.2,12,2.40499
6.5,10,2.405989
7.2,8,2.406794
6.2,12,2.407983
7.2,8,2.40876
5.9,14,2.410114
6.9,10,2.411089
7.2,8,2.411874
7.2,8,2.412654
7.2,8,2.413446
7.2,8,2.414224
5.4,12,2.415385
7.2,8,2.416181
7.2,8,2.416963
7.2,8,2.65722
7.2,8,2.658089
7.2,8,2.658907
7.2,8,2.659712
7.2,8,2.660511
7.2,8,2.661309
7.2,8,2.662097
7.2,8,2.662889
7.2,8,2.663677
7.2,8,2.664469
7.2,8,2.665261
7.2,8,2.666047
7.2,8,2.666855
7.2,8,2.667641
7.2,8,2.668433
7.2,8,2.669216
7.2,8,2.670003
7.2,8,2.670788
7.2,8,2.671573
7.2,8,2.672354
7.2,8,2.673131
7.2,8,2.673908
7.2,8,2.674684
7.2,8,2.675469
7.2,8,2.676257
7.2,8,2.677042
6.7,10,2.678015
7.2,8,2.678793
7.2,8,2.679573
7.2,8,2.680356
7.2,8,2.68113
7.2,8,2.68191
7.2,8,2.682694
7.2,8,2.683476
7.2,8,2.684259
7.2,8,2.685043
7.2,8,2.685829
7.2,8,2.686617
7.2,8,2.687393
7.2,8,2.688174
7.2,8,2.688951
7.2,8,2.689737
7.2,8,2.690521
7.2,8,2.691304
7.2,8,2.692086
7.2,8,2.692872
7.2,8,2.693654
7.2,8,2.694432
7.2,8,2.695215
7.2,8,2.695994
6.9,10,2.696968
6.9,10,2.697944
7.2,8,2.698717
7.2,8,2.699497
7.2,8,2.70028
7.2,8,2.70106
7.2,8,2.701841
7.2,8,2.702627
7.2,8,2.70341
7.2,8,2.704193
7.2,8,2.704969
7.2,8,2.705754
6.9,10,2.706726
7.2,8,2.707513
7.2,8,2.70829
7.2,8,2.709067
7.2,8,2.709846
7.2,8,2.710622
7.2,8,2.711396
7.2,8,2.712173
7.2,8,2.71295
7.2,8,2.71373
7.2,8,2.714507
7.2,8,2.715285
7.2,8,2.716072
7.2,8,2.716852
7.2,8,2.717633
7.2,8,2.718413
7.2,8,2.719192
7.2,8,2.719969
7.2,8,2.720746
7.2,8,2.72152
7.2,8,2.722296
7.2,8,2.723076
7.2,8,2.723856
7.2,8,2.724635
7.2,8,2.725416
7.2,8,2.726198
7.2,8,2.726984
7.2,8,2.727761
7.2,8,2.728531
7.2,8,2.729312
7.2,8,2.730087
7.2,8,2.730866
7.2,8,2.731645
7.2,8,2.732423
7.2,8,2.733203
7.2,8,2.733981
6.9,10,2.734951
7.2,8,2.735726
7.2,8,2.736503
7.2,8,2.737284
7.2,8,2.738058
7.2,8,2.738839
7.2,8,2.739619
7.2,8,2.7404
7.2,8,2.741179
7.2,8,2.741956
7.2,8,2.742751
7.2,8,2.74353
7.2,8,2.74431
7.2,8,2.745087
7.2,8,2.74586
7.2,8,2.746643
7.2,8,2.747419
6.3,10,2.748387
7.2,8,2.74917
7.2,8,2.749954
7.2,8,2.750742
7.2,8,2.751527
7.2,8,2.752307
6.9,10,2.753272
7.2,8,2.754052
7.2,8,2.754831
7.2,8,2.75561
7.2,8,2.756388
7.2,8,2.757169
7.2,8,2.757953
7.2,8,2.758733
7.2,8,2.759515
7.2,8,2.76029
6.9,10,2.761256
7.2,8,2.762047
7.2,8,2.762818
7.2,8,2.763593
7.2,8,2.764374
7.2,8,2.765157
7.2,8,2.765943
7.2,8,2.76673
7.2,8,2.767507
7.2,8,2.768287
7.2,8,2.769068
7.2,8,2.769846
7.2,8,2.77063
7.2,8,2.771412
7.2,8,2.77219
7.2,8,2.773004
7.2,8,2.773787
7.2,8,2.774567
7.2,8,2.775346
7.2,8,2.776124
7.2,8,2.776905
7.2,8,2.777681
7.2,8,2.778458
7.2,8,2.77924
7.2,8,2.780018
7.2,8,2.780793
7.2,8,2.781567
7.2,8,2.782346
7.2,8,2.783126
7.2,8,2.783908
7.2,8,2.784688
7.2,8,2.785467
7.2,8,2.786249
7.2,8,2.787033
7.2,8,2.787813
7.2,8,2.788584
7.2,8,2.789379
7.2,8,2.790151
7.2,8,2.790926
7.2,8,2.791703
7.2,8,2.792485
7.2,8,2.793261
7.2,8,2.794036
7.2,8,2.794809
7.2,8,2.795589
7.2,8,2.796361
7.2,8,2.797142
7.2,8,2.797918
7.2,8,2.798693
6.0,12,2.799854
7.2,8,2.800628
7.2,8,2.801404
7.2,8,2.802181
6.9,10,2.803148
7.2,8,2.803918
7.2,8,2.804691
6.9,10,2.805665
7.2,8,2.80645
7.2,8,2.807227
7.2,8,2.808007
7.2,8,2.808781
7.2,8,2.809556
7.2,8,2.810329
7.2,8,2.811105
7.2,8,2.811879
7.2,8,2.812659
7.2,8,2.813438
7.2,8,2.814219
7.2,8,2.814993
7.2,8,2.815773
7.2,8,2.816546
7.2,8,2.81732
7.2,8,2.818094
7.2,8,2.818873
7.2,8,2.819651
7.2,8,2.820425
7.2,8,2.821193
7.2,8,2.821974
7.2,8,2.822772
7.2,8,2.823549
7.2,8,2.824324
7.2,8,2.825104
7.2,8,2.825886
7.2,8,2.826667
7.2,8,2.827448
7.2,8,2.828229
7.2,8,2.829001
7.2,8,2.829778
7.2,8,2.830555
7.2,8,2.831332
7.2,8,2.832107
7.2,8,2.832884
7.2,8,2.83366
7.2,8,2.834435
7.2,8,2.835212
7.2,8,2.835984
7.2,8,2.836765
6.5,10,2.837724
7.2,8,2.838495
7.2,8,2.839274
7.2,8,2.840051
7.2,8,2.840823
7.2,8,2.8416
7.2,8,2.842379
7.2,8,2.843159
7.2,8,2.843937
7.2,8,2.844715
7.2,8,2.845496
7.2,8,2.846282
7.2,8,2.84706
7.2,8,2.847842
7.2,8,2.848623
7.2,8,2.849396
7.2,8,2.850171
7.2,8,2.850953
7.2,8,2.851757
7.2,8,2.852535
7.2,8,2.853312
7.2,8,2.854087
7.2,8,2.854872
7.2,8,2.855655
7.2,8,2.856433
7.2,8,3.104938
7.2,8,3.105939
7.2,8,3.106884
7.2,8,3.107754
7.2,8,3.108613
7.2,8,3.109461
7.2,8,3.110309
7.2,8,3.11115
7.2,8,3.111985
6.5,10,3.113026
7.2,8,3.113873
7.2,8,3.114728
7.2,8,3.11556
7.2,8,3.11639
6.7,10,3.117416
7.2,8,3.118247
7.2,8,3.119079
7.2,8,3.119907
7.2,8,3.120735
7.2,8,3.12156
7.2,8,3.122449
7.2,8,3.123285
7.2,8,3.124096
7.2,8,3.124909
7.2,8,3.125713
7.2,8,3.126505
7.2,8,3.127302
7.2,8,3.128096
7.2,8,3.128887
7.2,8,3.129694
7.2,8,3.130498
7.2,8,3.131295
7.2,8,3.132087
7.2,8,3.132875
7.2,8,3.133672
7.2,8,3.13446
7.2,8,3.13524
7.2,8,3.136028
7.2,8,3.136813
7.2,8,3.137613
7.2,8,3.138399
7.2,8,3.139244
7.2,8,3.140101
7.2,8,3.140935
7.2,8,3.141767
7.2,8,3.142598
7.2,8,3.143424
7.2,8,3.144251
7.2,8,3.14509
7.2,8,3.145944
7.2,8,3.146769
7.2,8,3.147604
7.2,8,3.14843
7.2,8,3.149251
7.2,8,3.150072
7.2,8,3.150884
7.2,8,3.151697
7.2,8,3.152516
7.2,8,3.153354
7.2,8,3.154191
7.2,8,3.15501
7.2,8,3.155844
7.2,8,3.156665
7.2,8,3.157484
7.2,8,3.158303
7.2,8,3.159126
7.2,8,3.159947
7.2,8,3.160768
7.2,8,3.161588
7.2,8,3.162407
7.2,8,3.16322
7.2,8,3.164048
6.9,10,3.165061
7.2,8,3.165874
7.2,8,3.166689
7.2,8,3.167514
7.2,8,3.168332
7.2,8,3.169151
7.2,8,3.169968
7.2,8,3.170786
7.2,8,3.171603
7.2,8,3.172454
7.2,8,3.173264
7.2,8,3.174062
7.2,8,3.174855
7.2,8,3.175649
6.5,10,3.176633
7.2,8,3.177425
7.2,8,3.178213
6.7,10,3.179194
7.2,8,3.179988
7.2,8,3.180775
7.2,8,3.181565
7.2,8,3.182357
7.2,8,3.183145
7.2,8,3.183932
7.2,8,3.184714
7.2,8,3.1855
7.2,8,3.186286
7.2,8,3.187072
7.2,8,3.187855
7.2,8,3.188642
7.2,8,3.189437
7.2,8,3.190224
7.2,8,3.191008
7.2,8,3.19179
7.2,8,3.192572
7.2,8,3.19335
7.2,8,3.19413
7.2,8,3.194915
7.2,8,3.195696
7.2,8,3.196485
7.2,8,3.197266
7.2,8,3.198053
7.2,8,3.198842
7.2,8,3.199627
7.2,8,3.200415
7.2,8,3.201199
7.2,8,3.201982
7.2,8,3.202767
7.2,8,3.20355
7.2,8,3.204335
7.2,8,3.205112
7.2,8,3.205901
7.2,8,3.206681
7.2,8,3.207466
7.2,8,3.208252
7.2,8,3.209036
7.2,8,3.209823
7.2,8,3.210611
7.2,8,3.211396
7.2,8,3.212181
7.2,8,3.212965
7.2,8,3.213749
7.2,8,3.214531
7.2,8,3.215311
7.2,8,3.216093
7.2,8,3.216873
7.2,8,3.217653
7.2,8,3.218434
7.2,8,3.219218
6.9,10,3.220198
7.2,8,3.220985
7.2,8,3.221774
7.2,8,3.22268
7.2,8,3.223563
7.2,8,3.224404
7.2,8,3.225228
7.2,8,3.226045
7.2,8,3.226857
7.2,8,3.227664
6.7,10,3.228667
7.2,8,3.229472
7.2,8,3.230272
7.2,8,3.231072
7.2,8,3.231868
7.2,8,3.232669
7.2,8,3.233464
7.2,8,3.234267
7.2,8,3.23506
7.2,8,3.235854
7.2,8,3.236653
7.2,8,3.237446
7.2,8,3.238243
7.2,8,3.239049
7.2,8,3.23984
7.2,8,3.240636
7.2,8,3.241441
7.2,8,3.242235
7.2,8,3.243031
7.2,8,3.24382
7.2,8,3.244611
7.2,8,3.2454
7.2,8,3.24619
7.2,8,3.246977
6.9,10,3.247963
7.2,8,3.248753
7.2,8,3.249545
7.2,8,3.25034
7.2,8,3.251136
7.2,8,3.251927
7.2,8,3.252717
7.2,8,3.253508
7.2,8,3.254298
7.2,8,3.255089
7.2,8,3.255922
7.2,8,3.256751
7.2,8,3.257572
7.2,8,3.258388
7.2,8,3.259206
7.2,8,3.26002
7.2,8,3.260836
7.2,8,3.261653
7.2,8,3.262469
7.2,8,3.263291
7.2,8,3.264114
7.2,8,3.264928
7.2,8,3.265749
7.2,8,3.266562
7.2,8,3.267382
7.2,8,3.268204
7.2,8,3.269024
7.2,8,3.269838
6.9,10,3.270868
7.2,8,3.271684
6.7,10,3.272763
7.2,8,3.273559
7.2,8,3.274355
7.2,8,3.27515
7.2,8,3.275947
7.2,8,3.276738
7.2,8,3.277528
7.2,8,3.27832
7.2,8,3.27911
7.2,8,3.279906
7.2,8,3.280692
6.7,10,3.281672
7.2,8,3.282463
7.2,8,3.28326
7.2,8,3.284052
7.2,8,3.284842
7.2,8,3.28563
7.2,8,3.286415
7.2,8,3.287199
7.2,8,3.287988
7.2,8,3.288778
7.2,8,3.289583
7.2,8,3.290376
7.2,8,3.291166
