#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.542241
11.0,11,1.544131
10.0,10,1.545532
10.0,10,1.547327
9.0,9,1.548675
9.0,9,1.550042
9.0,9,1.551719
10.0,10,1.55309
9.0,9,1.554355
8.0,8,1.555654
9.0,9,1.557403
12.0,12,1.559142
10.0,10,1.560539
8.0,8,1.561843
10.0,10,1.5636
9.0,9,1.564918
10.0,10,1.566334
9.0,9,1.568024
10.0,10,1.569444
11.0,11,1.571283
9.0,9,1.572614
9.0,9,1.574004
10.0,10,1.575761
10.0,10,1.577194
9.0,9,1.578916
10.0,10,1.580309
9.0,9,1.581576
9.0,9,1.583303
10.0,10,1.584667
9.0,9,1.58603
10.0,10,1.587745
10.0,10,1.589147
10.0,10,1.590928
11.0,11,1.592757
11.0,11,1.594191
12.0,12,1.595994
9.0,9,1.597756
12.0,12,1.59967
10.0,10,1.601079
9.0,9,1.60243
10.0,10,1.60422
10.0,10,1.605643
9.0,9,1.607366
8.0,8,1.60865
9.0,9,1.610018
12.0,12,1.611933
10.0,10,1.613319
10.0,10,1.615088
9.0,9,1.616423
10.0,10,1.618151
12.0,12,1.619982
9.0,9,1.621345
10.0,10,1.622748
9.0,9,1.624488
10.0,10,1.625871
10.0,10,1.627627
9.0,9,1.628983
10.0,10,1.63041
10.0,10,1.632202
9.0,9,1.633549
11.0,11,1.635239
10.0,10,1.636651
9.0,9,1.638364
10.0,10,1.639731
10.0,10,1.64144
10.0,10,1.642856
10.0,10,1.6446
10.0,10,1.645959
10.0,10,1.647741
10.0,10,1.649134
9.0,9,1.650472
10.0,10,1.652298
9.0,9,1.653634
10.0,10,1.655452
10.0,10,1.656789
9.0,9,1.658135
9.0,9,1.659895
8.0,8,1.661213
10.0,10,1.662645
11.0,11,1.664479
10.0,10,1.665887
10.0,10,1.667706
8.0,8,1.66898
8.0,8,1.670244
10.0,10,1.6716
11.0,11,1.673337
10.0,10,1.67514
9.0,9,1.676445
8.0,8,1.677726
9.0,9,1.679047
8.0,8,1.680324
9.0,9,1.681659
10.0,10,1.68346
10.0,10,1.684861
9.0,9,1.686591
9.0,9,1.6879
9.0,9,1.689239
9.0,9,1.690625
10.0,10,1.692504
11.0,11,1.694361
8.0,8,1.695657
10.0,10,1.697067
8.0,8,1.698354
8.0,8,1.699661
11.0,11,1.701521
10.0,10,1.702895
10.0,10,1.704706
9.0,9,1.706011
8.0,8,1.707297
8.0,8,1.708601
10.0,10,1.710381
10.0,10,1.711784
10.0,10,1.71357
9.0,9,1.714903
10.0,10,1.716295
9.0,9,1.718008
9.0,9,1.719358
10.0,10,1.720778
10.0,10,1.722547
9.0,9,1.723945
8.0,8,1.725226
10.0,10,1.727048
10.0,10,1.728458
8.0,8,1.729744
10.0,10,1.731534
9.0,9,1.732905
11.0,11,1.734679
10.0,10,1.73602
10.0,10,1.737786
9.0,9,1.739131
10.0,10,1.740574
9.0,9,1.742313
10.0,10,1.743747
10.0,10,1.745555
10.0,10,1.74695
9.0,9,1.748301
9.0,9,1.750002
10.0,10,1.751448
9.0,9,1.752789
10.0,10,1.754532
9.0,9,1.755844
9.0,9,1.75725
9.0,9,1.758981
10.0,10,1.760339
10.0,10,1.762151
9.0,9,1.763514
9.0,9,1.764857
9.0,9,1.766284
10.0,10,1.768048
10.0,10,1.76948
9.0,9,1.771218
12.0,12,1.773093
9.0,9,1.774457
9.0,9,1.775867
