#{"t_start": 1784097176.0750148, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.898889
10.0,10,1.900823
10.0,10,1.90228
9.0,9,1.903649
9.0,9,1.905388
10.0,10,1.906824
9.0,9,1.908183
10.0,10,1.910002
8.0,8,1.91128
11.0,11,1.913085
8.0,8,1.914379
8.0,8,1.915767
10.0,10,1.91721
9.0,9,1.918576
10.0,10,1.920392
10.0,10,1.921806
9.0,9,1.923583
11.0,11,1.925205
9.0,9,1.927076
10.0,10,1.928591
9.0,9,1.929954
9.0,9,1.931749
8.0,8,1.933089
9.0,9,1.934509
9.0,9,1.935896
10.0,10,1.937746
8.0,8,1.939048
9.0,9,1.940471
10.0,10,1.941998
10.0,10,1.944152
9.0,9,1.945609
10.0,10,1.947476
9.0,9,1.948841
8.0,8,1.950147
9.0,9,1.951503
10.0,10,1.953388
10.0,10,1.954847
9.0,9,1.956212
9.0,9,1.95805
10.0,10,1.959663
8.0,8,1.960986
8.0,8,1.962288
9.0,9,1.963626
10.0,10,1.965463
10.0,10,1.966889
8.0,8,1.968161
9.0,9,1.969951
10.0,10,1.971408
9.0,9,1.972767
9.0,9,1.974652
9.0,9,1.976141
10.0,10,1.977821
10.0,10,1.979629
12.0,12,1.981586
9.0,9,1.98297
10.0,10,1.984789
8.0,8,1.986105
10.0,10,1.987571
10.0,10,1.989399
9.0,9,1.990851
9.0,9,1.992502
10.0,10,1.994375
9.0,9,1.99577
9.0,9,1.997172
9.0,9,1.998609
9.0,9,2.000371
8.0,8,2.00168
9.0,9,2.003091
10.0,10,2.004564
9.0,9,2.006328
11.0,11,2.007904
10.0,10,2.009997
10.0,10,2.011515
11.0,11,2.013429
9.0,9,2.0148
10.0,10,2.016672
9.0,9,2.018017
10.0,10,2.019854
10.0,10,2.02129
9.0,9,2.022675
11.0,11,2.024656
10.0,10,2.026742
9.0,9,2.028152
9.0,9,2.029565
12.0,12,2.031468
10.0,10,2.033295
9.0,9,2.034652
8.0,8,2.036005
10.0,10,2.037442
9.0,9,2.039154
9.0,9,2.040595
9.0,9,2.042162
10.0,10,2.044082
10.0,10,2.045584
8.0,8,2.046917
10.0,10,2.048763
10.0,10,2.050194
10.0,10,2.052037
10.0,10,2.053497
9.0,9,2.054881
10.0,10,2.056679
10.0,10,2.058207
9.0,9,2.060311
9.0,9,2.061765
9.0,9,2.063167
12.0,12,2.065142
10.0,10,2.067002
10.0,10,2.068472
11.0,11,2.070336
11.0,11,2.072183
8.0,8,2.073511
10.0,10,2.075036
12.0,12,2.077049
10.0,10,2.078884
9.0,9,2.080248
9.0,9,2.081678
9.0,9,2.083063
9.0,9,2.0848
9.0,9,2.086171
9.0,9,2.087554
10.0,10,2.089348
9.0,9,2.090735
10.0,10,2.092166
9.0,9,2.093926
10.0,10,2.09537
8.0,8,2.096671
9.0,9,2.098021
10.0,10,2.099861
9.0,9,2.101213
10.0,10,2.103011
8.0,8,2.104293
9.0,9,2.105664
10.0,10,2.107121
9.0,9,2.108871
8.0,8,2.110138
10.0,10,2.111574
10.0,10,2.113378
11.0,11,2.114814
10.0,10,2.116609
9.0,9,2.117993
10.0,10,2.119756
9.0,9,2.121113
10.0,10,2.122545
8.0,8,2.123845
10.0,10,2.125642
8.0,8,2.126933
9.0,9,2.128269
9.0,9,2.129686
9.0,9,2.131403
8.0,8,2.132693
9.0,9,2.13408
9.0,9,2.135444
9.0,9,2.136794
10.0,10,2.138568
8.0,8,2.139857
10.0,10,2.141389
10.0,10,2.14319
10.0,10,2.144608
9.0,9,2.146319
9.0,9,2.14769
9.0,9,2.149048
9.0,9,2.150408
10.0,10,2.152207
11.0,11,2.15407
8.0,8,2.155365
9.0,9,2.156719
10.0,10,2.158153
10.0,10,2.159977
9.0,9,2.161336
9.0,9,2.162689
9.0,9,2.164426
10.0,10,2.16587
8.0,8,2.167327
10.0,10,2.169175
10.0,10,2.170576
10.0,10,2.172394
10.0,10,2.173827
9.0,9,2.1752
9.0,9,2.176939
8.0,8,2.178253
10.0,10,2.179687
10.0,10,2.181514
9.0,9,2.182866
9.0,9,2.18425
9.0,9,2.185606
8.0,8,2.186885
10.0,10,2.188695
11.0,11,2.190614
10.0,10,2.192033
8.0,8,2.193325
10.0,10,2.19513
9.0,9,2.196511
10.0,10,2.197905
9.0,9,2.199639
9.0,9,2.201001
8.0,8,2.202306
11.0,11,2.204177
9.0,9,2.205529
9.0,9,2.206884
9.0,9,2.208242
10.0,10,2.210036
10.0,10,2.211473
11.0,11,2.213325
11.0,11,2.215197
8.0,8,2.216482
11.0,11,2.218324
9.0,9,2.219673
10.0,10,2.221106
9.0,9,2.222835
9.0,9,2.224198
9.0,9,2.22555
9.0,9,2.226922
10.0,10,2.22873
10.0,10,2.23013
9.0,9,2.231867
9.0,9,2.233243
10.0,10,2.234614
9.0,9,2.23632
10.0,10,2.237748
8.0,8,2.239066
10.0,10,2.240881
9.0,9,2.242258
9.0,9,2.243607
9.0,9,2.244987
10.0,10,2.246778
10.0,10,2.248188
9.0,9,2.249912
10.0,10,2.251336
11.0,11,2.253206
10.0,10,2.254609
9.0,9,2.256321
11.0,11,2.257822
9.0,9,2.259561
11.0,11,2.260986
12.0,12,2.262869
8.0,8,2.26416
11.0,11,2.266025
9.0,9,2.267384
8.0,8,2.268632
9.0,9,2.270404
9.0,9,2.271761
9.0,9,2.273121
9.0,9,2.274475
9.0,9,2.276224
11.0,11,2.277714
12.0,12,2.279632
9.0,9,2.281358
9.0,9,2.282736
10.0,10,2.284154
10.0,10,2.285935
10.0,10,2.28735
9.0,9,2.289079
9.0,9,2.290441
11.0,11,2.292302
9.0,9,2.293653
9.0,9,2.295027
9.0,9,2.296387
10.0,10,2.298156
11.0,11,2.30001
10.0,10,2.301425
8.0,8,2.302724
10.0,10,2.304462
10.0,10,2.305849
10.0,10,2.307663
10.0,10,2.309086
9.0,9,2.31043
10.0,10,2.312205
10.0,10,2.313632
10.0,10,2.315426
10.0,10,2.316838
8.0,8,2.318118
10.0,10,2.319944
8.0,8,2.321231
10.0,10,2.322721
10.0,10,2.324548
10.0,10,2.325992
9.0,9,2.327716
9.0,9,2.32908
10.0,10,2.330511
11.0,11,2.332485
